id,jobname,joburl,jobcategory,companyname,companyurl,companycategory
sienna1,Community manager,https://sienna.network/jobs/,MARKETING,Sienna,https://sienna.network/jobs/,DeFi
espresso1,Security Engineering Lead,https://jobs.lever.co/Espresso/135f4767-f690-41f8-9ab0-95fd9d398677,SECURITY,Espresso Systems,https://jobs.lever.co/Espresso,DeFi
espresso2,Software Engineer - Infrastructure,https://jobs.lever.co/Espresso/bf359a02-5579-4d8b-a254-23c989f67af5,ENGINEERING,Espresso Systems,https://jobs.lever.co/Espresso,DeFi
silent1,Front End Developer,https://www.silentresearchlabs.org/jobs/backend-system-engineer,ENGINEERING,Silent Research Labs,https://www.silentresearchlabs.org/company/careers,DeFi
silent2,BackEnd Engineer,https://www.silentresearchlabs.org/jobs/backend-system-engineer,ENGINEERING,Silent Research Labs,https://www.silentresearchlabs.org/company/careers,DeFi
silent3,Digital Designer,https://www.silentresearchlabs.org/jobs/digital-designer,PRODUCT,Silent Research Labs,https://www.silentresearchlabs.org/company/careers,DeFi
silent4,Growth Marketer,https://www.silentresearchlabs.org/jobs/growth-marketer,MARKETING,Silent Research Labs,https://www.silentresearchlabs.org/company/careers,DeFi
silent5,Legal Counsel,https://www.silentresearchlabs.org/jobs/legal-counsel,OTHER,Silent Research Labs,https://www.silentresearchlabs.org/company/careers,DeFi
panther1,Blockchain Architect,https://wellfound.com/jobs/2221049-blockchain-architect,ENGINEERING, Panther Protocol,https://wellfound.com/company/panther-protocol/jobs,DeFi
panther2,Full Stack Developer,https://wellfound.com/jobs/2227585-full-stack-developer,ENGINEERING, Panther Protocol,https://wellfound.com/company/panther-protocol/jobs,DeFi
panther3,Lead Front-end Developer,https://wellfound.com/jobs/2227586-lead-front-end-developer,ENGINEERING, Panther Protocol,https://wellfound.com/company/panther-protocol/jobs,DeFi
webb1,Rust Engineer,https://wellfound.com/jobs/1863129-rust-engineer,ENGINEERING,Webb,https://wellfound.com/company/webb-4/jobs,DeFi
webb2,Senior Cryptography Engineer,https://wellfound.com/jobs/1241036-senior-cryptography-engineer,CRYPTOGRAPHY,Webb,https://wellfound.com/company/webb-4/jobs,DeFi
renegade1,Cryptography Engineer,https://jobs.lever.co/renegade/d356c32f-7089-4460-89ac-88e351c024cd,CRYPTOGRAPHY,Renegade,https://jobs.lever.co/renegade/,DeFi
renegade2,Full-Stack Engineer,https://jobs.lever.co/renegade/797c3a64-eb3d-4cf6-94e7-9eb22d602fcb,ENGINEERING,Renegade,https://jobs.lever.co/renegade/,DeFi
renegade3,Systems Engineer,https://jobs.lever.co/renegade/f2a7662d-3f0b-47a6-a9e6-c570e42cfb34,ENGINEERING,Renegade,https://jobs.lever.co/renegade/,DeFi
renegade4,Interface Designer,https://jobs.lever.co/renegade/7e2d53d1-5b44-4865-8b3f-e01ca969df4e,PRODUCT,Renegade,https://jobs.lever.co/renegade/,DeFi
renegade5,Technical Writer,https://jobs.lever.co/renegade/fd980ba9-48de-4175-a74f-d83e02acbb82,MARKETING,Renegade,https://jobs.lever.co/renegade/,DeFi
renegade6,Generalist,https://jobs.lever.co/renegade/ff82656d-c8bf-484b-95a0-378f2795443d,OTHER,Renegade,https://jobs.lever.co/renegade/,DeFi
definer1,UI UX Graphic Designer,https://definer.freshteam.com/jobs/_xHgZlVUfKwQ/ui-ux-graphic-designer-remote,MARKETING,DeFiner,https://definer.freshteam.com/jobs,DeFi
definer2,Full Stack Developer,https://definer.freshteam.com/jobs/vHT0qxyd93Mn/definer-full-stack-developer-remote,ENGINEERING,DeFiner,https://definer.freshteam.com/jobs,DeFi
definer3,Entry Level Data Scientist,https://definer.freshteam.com/jobs/t-xkJgq0RfpW/entry-level-data-scientist,PRODUCT,DeFiner,https://definer.freshteam.com/jobs,DeFi
beldex1,Community Manager,https://www.beldex.io/careers#En,MARKETING,Beldex,https://www.beldex.io/careers#En,Currency
beldex2,Consultant - Advisor,https://www.beldex.io/careers#En,OPERATIONS,Beldex,https://www.beldex.io/careers#En,Currency
beldex3,Blockchain Core Developer,https://www.beldex.io/careers#En,ENGINEERING,Beldex,https://www.beldex.io/careers#En,Currency
nym1,Windows Application Developer,https://nym.teamtailor.com/jobs/4505740-windows-application-developer,ENGINEERING,Nym,https://nym.teamtailor.com/,Infra
lit1,Support Engineer,https://jobs.lever.co/litprotocol/2260c34e-ca2b-4339-b1af-c05180a033f6,ENGINEERING,Lit,https://jobs.lever.co/litprotocol,Infra
lit2,Growth Development Representative,http://jobs.litprotocol.com/apply/idZSKYPYZw/Growth-Development-Representative,MARKETING,Lit,https://jobs.lever.co/litprotocol,Infra
lit3,Senior Software Engineer - Generalist / Rust,http://jobs.litprotocol.com/apply/nsUvEo9ews/Senior-Software-Engineer-Generalist-Rust,ENGINEERING,Lit,https://jobs.lever.co/litprotocol,Infra
mysterium1,Senior Backend Developer,https://www.mysterium.network/senior-backend-developer,ENGINEERING,Mysterium Network,https://www.mysterium.network/careers,Infra
integritee1,Full-Stack Developer,https://jobs.smartrecruiters.com/IntegriteeAG/743999851317541-full-stack-developer,ENGINEERING,Integritee,https://www.integritee.network/about#join,Infra
integritee2,Senior DevOps Engineer,https://jobs.smartrecruiters.com/IntegriteeAG/743999851317371-senior-devops-engineer,ENGINEERING,Integritee,https://www.integritee.network/about#join,Infra
integritee3,Rust Core Developer,https://jobs.smartrecruiters.com/IntegriteeAG/743999851315676-rust-core-developer,ENGINEERING,Integritee,https://www.integritee.network/about#join,Infra
integritee4,Rust App-Developer,https://jobs.smartrecruiters.com/IntegriteeAG/743999851316681-rust-app-developer,ENGINEERING,Integritee,https://www.integritee.network/about#join,Infra
nulink1,Senior Researcher,https://www.nulink.org/careers/senior-researcher,RESEARCH,Nulink,https://www.nulink.org/careers,Infra
nulink2,Senior Developer,https://www.nulink.org/careers/senior-developer,ENGINEERING,Nulink,https://www.nulink.org/careers,Infra
nulink3,Marketing Manager,https://www.nulink.org/careers/marketing-manager,MARKETING,Nulink,https://www.nulink.org/careers,Infra
horizen1,Principal Engineer,https://www.linkedin.com/jobs/search/?currentJobId=3909789364,ENGINEERING,Horizen,https://www.horizen.io/careers/#section-open-positions,Infra
Horizen2,Senior Cryptographic Engineer,https://www.linkedin.com/jobs/view/3823031648/,CRYPTOGRAPHY,Horizen,https://www.horizen.io/careers/#section-open-positions,Infra
horizen3,Web3 Business Development Manager - APAC,https://www.linkedin.com/jobs/view/3874904524/,SALES,Horizen,https://www.horizen.io/careers/#section-open-positions,Infra
penumbra1,General Application,https://boards.greenhouse.io/penumbralabs/jobs/4884093004,OTHER,Penumbra,https://boards.greenhouse.io/penumbralabs,Infra
penumbra2,Frontend Engineer,https://boards.greenhouse.io/penumbralabs/jobs/5151794004,ENGINEERING,Penumbra,https://boards.greenhouse.io/penumbralabs,Infra
mina1,Head of Product,https://apply.workable.com/mina-foundation/j/D4690C4B5D/,PRODUCT,Mina,https://apply.workable.com/mina-foundation/,Infra
mina2,Head Of Growth/Business Development,https://apply.workable.com/mina-foundation/j/F9257844C7/,SALES,Mina,https://apply.workable.com/mina-foundation/,Infra
mina3,Senior Developer Relations Engineer,https://apply.workable.com/mina-foundation/j/43304D9360/,ENGINEERING,Mina,https://apply.workable.com/mina-foundation/,Infra
mina4,Senior Technical Product Manager,https://apply.workable.com/mina-foundation/j/290A5EEDB8/,PRODUCT,Mina,https://apply.workable.com/mina-foundation/,Infra
oasis1,Developer Relations Engineer,https://boards.greenhouse.io/oasisnetwork/jobs/4346429005,ENGINEERING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis2,Developer Relations Manager,https://boards.greenhouse.io/oasisnetwork/jobs/4348296005,ENGINEERING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis3,Developer Relations Manager,https://boards.greenhouse.io/oasisnetwork/jobs/4358939005,ENGINEERING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis4,Senior Software Engineer - Core Platform,https://boards.greenhouse.io/oasisnetwork/jobs/4395552005,ENGINEERING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis5,Senior Software Engineer - Smart Contracts,https://boards.greenhouse.io/oasisnetwork/jobs/4369218005,ENGINEERING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis6,Senior Software Engineer - Core Platform,https://boards.greenhouse.io/oasisnetwork/jobs/4395553005,ENGINEERING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis7,Senior Software Engineer - Core Platform,https://boards.greenhouse.io/oasisnetwork/jobs/4395552005,ENGINEERING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis8,Communications Lead,https://boards.greenhouse.io/oasisnetwork/jobs/4397677005,MARKETING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis9,Communications Lead,https://boards.greenhouse.io/oasisnetwork/jobs/4397675005,MARKETING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis10,Content Writer,https://boards.greenhouse.io/oasisnetwork/jobs/4397672005,MARKETING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
Oasis11,Content Writer,https://boards.greenhouse.io/oasisnetwork/jobs/4397674005,MARKETING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
Oasis12,Social Media Manager,https://boards.greenhouse.io/oasisnetwork/jobs/4397687005,MARKETING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
oasis13,Video Creator,https://boards.greenhouse.io/oasisnetwork/jobs/4369216005,MARKETING,Oasis Network,https://boards.greenhouse.io/oasisnetwork,Infra
edge1,General Application,https://docs.google.com/forms/d/e/1FAIpQLScL1y9P8me7OvgCAyxnktZfJTI1ymMKit4vihNogBA0LGLYjQ/viewform,OTHER,Edge,https://edge.network/en/careers/,Infra
Edge2,Full stack engineer,https://forms.gle/4CVr9CvubFhD3jG17,ENGINEERING,Edge,https://edge.network/en/careers/,Infra
Edge3,Front end engineer,https://forms.gle/4CVr9CvubFhD3jG17,ENGINEERING,Edge,https://edge.network/en/careers/,Infra
Edge4,New business manager,https://forms.gle/4CVr9CvubFhD3jG17,SALES,Edge,https://edge.network/en/careers/,Infra
Edge5,Marketing director,https://forms.gle/4CVr9CvubFhD3jG17,MARKETING,Edge,https://edge.network/en/careers/,Infra
